"epoch: 92, PSNR: 20.205086161581317, SSIM: 0.785658232281717, LPIPS: 0.1613999694753229, UCIQE: 0.4206713140010834, UIQM: 3.7465269565582275, best PSNR: 20.374970028909406, best epoch: 90"
"epoch: 93, PSNR: 20.352246734533416, SSIM: 0.7852270147773657, LPIPS: 0.15945864443698626, UCIQE: 0.4085589647293091, UIQM: 3.727980852127075, best PSNR: 20.374970028909406, best epoch: 90"
"epoch: 94, PSNR: 20.23771694269073, SSIM: 0.7861682658784845, LPIPS: 0.15649252560701263, UCIQE: 0.411510169506073, UIQM: 3.7351152896881104, best PSNR: 20.374970028909406, best epoch: 90"
"epoch: 95, PSNR: 20.439112791854345, SSIM: 0.7869703193728843, LPIPS: 0.15237774469711807, UCIQE: 0.4199528694152832, UIQM: 3.7444465160369873, best PSNR: 20.439112791854345, best epoch: 95"
"epoch: 96, PSNR: 20.47023453873195, SSIM: 0.7904535203837277, LPIPS: 0.15561812404501305, UCIQE: 0.4134390354156494, UIQM: 3.7343688011169434, best PSNR: 20.47023453873195, best epoch: 96"
"epoch: 97, PSNR: 20.44238013363956, SSIM: 0.7894292286272799, LPIPS: 0.15635252827673815, UCIQE: 0.4091077148914337, UIQM: 3.733705997467041, best PSNR: 20.47023453873195, best epoch: 96"
"epoch: 98, PSNR: 20.39283025934455, SSIM: 0.7890792341714494, LPIPS: 0.15539190566606736, UCIQE: 0.4113216996192932, UIQM: 3.730010747909546, best PSNR: 20.47023453873195, best epoch: 96"
"epoch: 99, PSNR: 20.412070220775817, SSIM: 0.7887688841712609, LPIPS: 0.15093994006681977, UCIQE: 0.42138415575027466, UIQM: 3.7556369304656982, best PSNR: 20.47023453873195, best epoch: 96"
"epoch: 100, PSNR: 20.42912793963143, SSIM: 0.7905862773402353, LPIPS: 0.15421249357502112, UCIQE: 0.41808682680130005, UIQM: 3.7364447116851807, best PSNR: 20.47023453873195, best epoch: 96"
"epoch: 101, PSNR: 20.470267017235916, SSIM: 0.791230443488346, LPIPS: 0.1509016321532512, UCIQE: 0.420014888048172, UIQM: 3.7396576404571533, best PSNR: 20.470267017235916, best epoch: 101"
